	sham.pval	sham.fdr	sna.pval	sna.fdr	sna.log2Ratio.fwd	sna.log2Ratio.rev	sham.log2Ratio.fwd	sham.log2Ratio.rev	sna.mean	sham.mean	FisherP	FisherFDR
Igh	0.0339425483374649	0.0467242611005269	0.00024954630400141	0.000802664400499381	-3.032447709	NA	-3.480148153	3.357411247	-3.032447709	-3.4187797	0.000107393734608542	0.000244160114580104
Ighg2a	NA	NA	5.01731020729101e-10	1.30450065389566e-08	NA	5.134508464	NA	NA	-5.134508464	NA	NA	NA
Ighg2b	0.866658593953135	0.920547488966982	0.579587804011633	0.585214870069998	-0.092586282	0.08106688	-0.318847625	0.444667067	-0.086826581	-0.381757346	0.84816581840786	0.851366444137701
Ighg3	0.893174295948892	0.930338348530323	0.37719371865802	0.401653379594888	0.052137623	0.046560906	-0.267392149	0.221320307	0.0027883585	-0.244356228	0.703436510122621	0.714175998826783
Ighm	0.83307196354282	0.892770931614293	0.367436409198799	0.393952438728609	-0.536021883	0.500802053	-0.540862196	0.521251795	-0.518411968	-0.5310569955	0.668475624228996	0.694587953300441
Ighv1-18	0.016677908553012	0.0260330719826005	2.49869735873648e-06	1.40870315328171e-05	-3.551851772	4.246864083	-3.44592791	4.016318022	-3.8993579275	-3.731122966	7.4984025749732e-07	2.84939297848982e-06
Ighv1-22	0.0172783693262037	0.0266881854850752	0.000160066920462071	0.000542835643306153	-3.126202547	NA	-3.895330552	3.537420325	-3.126202547	-3.7163754385	3.81616689044101e-05	9.91143540456327e-05
Ighv1-42	0.15901710996132	0.18684510420455	NA	NA	NA	NA	-2.563198526	NA	NA	-2.563198526	NA	NA
Ighv1-47	NA	NA	9.03088411773193e-06	4.2054266339289e-05	-3.211564852	4.143475054	NA	NA	-3.677519953	NA	NA	NA
Ighv1-5	0.00254560753943652	0.00627326722476588	0.00117115327339792	0.0033833316787051	-4.252555882	1.111164889	NA	4.427606173	-2.6818603855	-4.427606173	4.09127871814435e-05	0.000104642321060231
Ighv1-62-2	0.0538923399704755	0.0679332561313657	NA	NA	NA	NA	-4.154775731	2.232814227	NA	-3.193794979	NA	NA
Ighv1-78	0.116175720825503	0.137984881413684	5.19837859897015e-05	0.000205303053528948	-3.151362038	3.553360503	-2.765719423	NA	-3.3523612705	-2.765719423	7.86143564302007e-05	0.000186709096521727
Ighv10-3	0.094718129548458	0.113730892778988	0.00661881549659782	0.0158579574495174	-2.229314702	NA	NA	2.887681229	-2.229314702	-2.887681229	0.00525027511759914	0.00767347901802951
Ighv14-2	1.40135412664164e-05	0.0001356016199015	1.3323046483389e-10	4.265395836268e-09	-4.914629735	5.687620632	-5.688245801	6.037426152	-5.3011251835	-5.8628359765	6.51863044258223e-14	1.73395569772687e-12
